eBay 订单号,追踪号,原运费 USD,新运费 USD,运费 JPY,更新后毛利润
13-14173-98068,LX310778393JP,0.0,8.27,1240.0,10.61
03-14197-21396,LX311565633JP,0.0,7.07,1060.0,9.76
01-14196-30552,LX311979462JP,0.0,5.87,880.0,11.01
24-14183-99143,LX311311877JP,0.0,10.67,1600.0,30.15
12-14189-22927,LX311285275JP,0.0,9.47,1420.0,-9.47
06-14204-08998,LX311367964JP,0.0,10.67,1600.0,55.89
11-14196-40837,LX311311982JP,0.0,9.47,1420.0,-26.46
26-14181-77757,LX311608696JP,0.0,5.87,880.0,-3.18
25-14182-83774,LX311770144JP,0.0,5.87,880.0,8.41
15-14198-92088,LX311771856JP,0.0,8.27,1240.0,-8.27
08-14208-41336,LX311686910JP,0.0,10.67,1600.0,-10.67
16-14203-98038,LX311691146JP,0.0,9.47,1420.0,73.77
04-14229-71912,LX312363147JP,0.0,5.87,880.0,-5.87
26-14206-87146,LX312230260JP,0.0,5.87,880.0,10.96
10-14228-18551,LX312151859JP,0.0,16.67,2500.0,-16.67
14-14222-21325,LX311657944JP,0.0,5.87,880.0,14.7
11-14238-34050,LX312117415JP,0.0,7.07,1060.0,26.76
10-14247-53617,LX312164367JP,0.0,8.27,1240.0,-8.27
02-14262-41489,LX312873202JP,0.0,5.87,880.0,11.04
08-14259-71704,LX313258595JP,0.0,5.87,880.0,-24.84
07-14273-95876,LX312998975JP,0.0,8.27,1240.0,13.38
07-14271-49254,LX312943645JP,0.0,5.87,880.0,-5.87
18-14254-75059,LX313197477JP,0.0,8.27,1240.0,12.03
09-14271-87124,LX313094044JP,0.0,5.87,880.0,-5.87
06-14281-97389,LX312944535JP,0.0,8.27,1240.0,11.64
04-14301-30303,LX312942702JP,0.0,9.6,1440.0,22.87
